Enabled,ISBN,Label,Price,URL
y,9781118291054,Handbook of Bird Biology *US HARDCOVER* 3rd Ed. (Cornell Lab of Ornithology) by John W. Fitzpatrick - {9781118291054} {1118291050},63.99,https://www.booksgoat.com/index.php?route=product/product&product_id=408316&search=9781118291054
y,9781285769417,Milady Standard Cosmetology *US HARDCOVER* 13th Edition - {9781285769417 } {1285769414},109.99,https://www.booksgoat.com/index.php?route=product/product&product_id=426572&search=9781285769417
y,9781138071711,"HVAC Water Chillers and Cooling Towers: Fundamentals, Application, and Operation, 2nd Edition by Herbert W. Stanford III (ISBN 9781138071711) - Paperback",59.99,https://www.booksgoat.com/index.php?route=product/product&product_id=409445
y,9781108494540,Design of CMOS Phase-Locked Loops: From Circuit Level to Architecture Level by Behzad Razavi (ISBN 9781108494540) - Hardcover,56.99,https://www.booksgoat.com/index.php?route=product/product&product_id=410317&search=design+of+cmos
y,9781684038879,Understanding and Applying Relational Frame Theory by Siri Ming (ISBN 9781684038879) - Paperback,46.99,https://www.booksgoat.com/index.php?route=product/product&product_id=422657
y,9781464134227,"Laboratory Techniques in Organic Chemistry, 4th Edition by Jerry R. Mohrig, David Alberg, Gretchen Hofmeister & Paul F. Schatz (ISBN 9781464134227) - Paperback",79.99,https://www.booksgoat.com/index.php?route=product/product&product_id=408837
y,9780470631553,Microwave Engineering 4th Edition by David Pozar (ISBN 9780470631553) - Hardcover,119.99,https://www.booksgoat.com/index.php?route=product/product&product_id=427781
y,9781429215084,"Vector Calculus, 6th Edition by Jerrold Marsden, Anthony Tromba (ISBN 9781429215084) - Hardcover",74.99,https://www.booksgoat.com/index.php?route=product/product&product_id=1036
y,9781624104909,"Aircraft Design: A Conceptual Approach, 6th Edition (AIAA Education Series) by Daniel P. Raymer (ISBN 9781624104909) - Hardcover",79.99,https://www.booksgoat.com/index.php?route=product/product&product_id=408636
y,9780323905497,"
Formulas and Calculations for Drilling, Production, and Workover, 5th Edition (ISBN 9780323905497) - Paperback",79.99,https://www.booksgoat.com/index.php?route=product/product&product_id=423386
y,9781884989117,Spacecraft Thermal Control Handbook â Edited by David G. Gilmore â Hardcover (ISBN: 9781884989117),53.99,https://www.booksgoat.com/index.php?route=product/product&product_id=409588
y,9781593703424,The Art of Reading Buildings by John Mittendorf (ISBN 9781593703424) - Hardcover,59.99,https://www.booksgoat.com/index.php?route=product/product&product_id=408407
y,9781492592006,"
Science and Practice of Strength Training, 3rd Edition by Vladimir M. Zatsiorsky & William J. Kraemer (ISBN 9781492592006) - Hardcover",49.99,https://www.booksgoat.com/index.php?route=product/product&product_id=428584&search=science+and+practice+of+strength
y,9781032450995,"Introduction to the Thermodynamics of Materials, 7th Edition by David R. Gaskell (ISBN 9781032450995) - Hardcover",53.99,https://www.booksgoat.com/index.php?route=product/product&product_id=437856
y,9781517912482,Interpreting the MMPI-3 textbook by Martin Sellbom and Yossef Ben-Porath (ISBN: 9781517912482) - Hardcover,53.99,https://www.booksgoat.com/index.php?route=product/product&product_id=438101
y,9781609839574,"
2021 International Residential Code (IRC) by International Code Council (ICC) ISBN: 9781609839574 â Paperback",79.99,https://www.booksgoat.com/index.php?route=product/product&product_id=408433
y,9781609837372,2018 International Residential Code for One- and Two-Family Dwellings by International Code Council (ICC) ISBN: 9781609837372 â Paperback,79.99,https://www.booksgoat.com/index.php?route=product/product&product_id=408748
